Frame number,449
First frame,416
Point frequency,100
Analog frequency,100

Time,MJ06:LHEE,,,MJ06:LTOE,,,MJ06:RHEE,,,MJ06:RTOE,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
5.1,413.001,858.982,71.2108,472.078,649.483,169.555,303.568,1445.46,58.7421,251.78,1215.98,58.0031
5.11,411.378,854.792,68.552,470.746,644.616,166.318,303.467,1445.45,58.8538,251.767,1216.08,57.9131
5.12,410.054,853.796,67.9182,467.419,641.82,161.721,303.411,1445.42,58.9463,251.734,1216.17,57.8161
5.13,409.029,853.333,66.9639,463.388,638.401,156.503,303.382,1445.45,59.1633,251.684,1215.83,57.9474
5.14,408.351,851.708,66.3368,458.348,635.397,152.618,303.23,1445.45,59.4271,251.629,1215.91,57.8347
5.15,408.277,849.208,67.2431,452.74,630.991,148.573,302.886,1445.03,59.7469,251.611,1216.02,57.7555
5.16,408.307,845.298,68.0944,447.595,625.118,142.722,302.546,1445.07,60.9433,251.566,1216.03,57.6343
5.17,408.699,841.625,69.3267,443.937,618.677,135.429,302.326,1444.64,62.2596,251.577,1216.11,57.4877
5.18,408.747,838.693,70.3094,442.141,613.763,128.88,302.168,1444.09,64.0997,251.727,1216.28,57.1963
5.19,408.442,835.372,70.9097,440.896,610.037,122.741,301.739,1443.41,66.6277,251.749,1215.82,57.3497
5.2,408.789,832.831,71.6231,439.724,606.118,116.573,301.17,1442.54,69.5841,251.99,1216.29,56.9438
5.21,409.045,830.656,72.4901,438.746,602.397,110.876,300.775,1441.4,73.3077,251.796,1215.47,56.9361
5.22,409.085,828.538,73.062,437.978,599.933,105.884,300.051,1439.72,77.8154,251.768,1215.13,56.9322
5.23,409.526,827.425,73.9995,436.944,597.794,101.818,298.784,1437.65,83.0328,251.718,1214.93,56.9071
5.24,409.748,826.103,74.4708,435.804,596.102,98.2535,297.494,1435.37,89.2206,251.534,1214.37,56.9913
5.25,410.406,825.653,75.1067,434.618,594.435,95.2745,295.801,1432.66,96.0034,251.22,1213.62,57.1618
5.26,410.564,825.591,75.5596,433.294,593.402,93.0601,293.44,1429.31,103.244,250.744,1212.66,57.3849
5.27,410.56,824.909,75.692,432.432,592.601,91.0919,291.257,1425.51,111.025,250.083,1210.5,58.2493
5.28,410.713,824.113,75.929,431.889,591.655,89.1258,288.546,1421.09,118.967,249.52,1208.43,58.7939
5.29,410.793,823.476,76.0245,431.255,590.957,87.3981,285.627,1416.14,127.103,248.836,1206.52,59.133
5.3,410.743,822.896,76.1792,430.437,590.209,85.7757,282.727,1411.16,135.582,248.052,1204.26,59.7051
5.31,410.729,822.635,76.227,429.54,589.759,84.4716,279.433,1405.79,143.877,247.099,1201.89,60.0631
5.32,410.698,822.485,76.28,428.655,589.815,83.676,276.217,1400.33,152.499,246.102,1200.7,60.1863
5.33,410.647,822.558,76.257,427.58,589.725,83.1546,272.889,1394.42,160.569,245.291,1198.66,60.788
5.34,410.554,822.569,76.1848,426.526,589.659,82.8554,270.096,1388.17,169.091,244.485,1196.02,61.9713
5.35,410.541,822.481,76.1418,425.676,589.45,82.5681,266.932,1381.28,177.899,243.705,1193.27,63.3582
5.36,410.557,822.474,76.1619,425.043,589.315,82.1645,264.382,1374.9,187.128,242.948,1189.77,65.1685
5.37,410.573,822.405,76.2719,424.882,589.043,81.5389,262.045,1366.95,195.658,242.357,1186.85,66.9174
5.38,410.646,822.402,76.4841,424.923,588.63,80.7226,260.447,1359.37,204.691,241.71,1183.28,69.0931
5.39,410.511,821.428,76.3975,424.978,587.912,79.5944,258.692,1350.91,214.146,241.295,1178.91,71.5
5.4,410.499,820.926,76.5646,425.15,587.05,78.1029,257.672,1341.52,224.109,240.791,1174.27,73.6981
5.41,410.42,820.762,76.8729,425.443,586.242,76.8163,257.038,1330.67,233.706,240.404,1169.29,75.5828
5.42,410.517,820.559,77.0927,425.659,585.466,75.7358,256.699,1318.77,243.871,239.937,1163.9,77.3588
5.43,410.575,820.232,77.3648,426.018,585.031,74.8414,256.706,1305.11,253.657,239.271,1158.68,78.5553
5.44,411.167,821.214,77.8661,426.316,584.572,73.7849,256.957,1289.92,262.655,238.542,1152.85,79.4812
5.45,411.05,820.58,77.7574,426.57,583.839,72.8003,257.316,1272.96,271.901,237.459,1146.79,80.0462
5.46,410.951,820.308,77.8484,426.972,583.473,72.0259,258.421,1255.15,280.092,236.035,1140.27,79.9788
5.47,410.895,820.203,78.0278,427.301,583.046,71.3891,259.954,1238.15,286.194,234.509,1132.21,80.4939
5.48,410.986,820.204,78.1772,427.776,582.74,70.6824,261.482,1220.66,291.901,232.441,1123.96,80.7261
5.49,410.985,819.727,78.3675,428.219,582.556,69.8467,262.239,1203.35,296.359,230.673,1114.54,81.4328
5.5,410.916,819.525,78.4601,428.39,582.203,69.0313,262.602,1188.99,298.386,228.787,1100.33,84.0758
5.51,410.872,819.442,78.5873,428.483,581.742,68.2403,262.594,1176.82,297.939,227.766,1081.26,87.2584
5.52,410.771,819.244,78.6589,428.468,581.28,67.3351,261.369,1165.17,295.346,227.179,1058.48,90.722
5.53,410.723,819.127,78.9417,428.669,581.018,66.4417,258.876,1152.73,291.767,227.251,1033.01,93.5969
5.54,410.581,818.991,79.0464,428.593,580.568,65.2733,255.571,1139.95,284.901,228.133,1006.31,95.7049
5.55,410.298,818.785,78.8185,428.672,580.691,64.152,252.531,1125.87,276.972,228.744,978.364,97.4371
5.56,410.279,819.193,79.1123,428.652,580.539,63.3897,248.464,1108.36,267.739,229.017,949.742,98.2698
5.57,410.052,819.225,79.2781,428.529,580.599,62.9201,245.077,1089.83,257.353,228.365,921.684,98.1446
5.58,409.658,818.694,79.121,428.491,580.548,62.5944,242.658,1069.89,246.571,225.743,891.133,98.1819
5.59,409.349,818.697,79.2108,428.35,580.471,62.2441,241.172,1048.44,235.46,222.136,861.41,97.3184
5.6,408.95,818.571,79.2736,428.079,580.359,61.9524,239.954,1025.38,224.256,217.411,831.675,95.6756
5.61,408.714,818.305,79.1913,427.872,580.252,61.7435,239.07,1000.74,212.762,212.056,802.255,93.6224
5.62,408.473,818.162,79.1465,427.677,580.119,61.5613,238.475,975.392,201.179,205.981,771.603,91.8423
5.63,408.364,818.206,79.3601,427.555,580.04,61.388,237.946,949.324,189.405,199.456,740.966,90.9785
5.64,408.199,818.19,79.4331,427.414,580.077,61.249,237.393,922.45,177.674,192.885,710.672,90.3045
5.65,408.129,818.707,79.8358,427.351,580.083,61.1566,236.97,896.233,166.739,185.779,680.354,90.5171
5.66,408.114,818.995,79.9865,427.297,580.121,61.0424,235.932,867.702,155.808,177.554,650.747,91.1001
5.67,407.986,819.036,79.947,427.288,580.137,60.9307,235.443,839.367,146.078,170.03,620.969,92.3985
5.68,407.962,818.962,79.8889,427.307,580.291,60.8254,234.931,810.571,137.142,162.928,592.631,93.7806
5.69,407.968,819.137,79.9069,427.315,580.345,60.7631,234.691,781.872,128.996,155.145,563.707,95.5974
5.7,408.071,818.338,79.5349,427.283,580.309,60.6891,233.764,753.629,122.054,148.322,536.831,97.0458
5.71,408.141,818.247,79.4984,427.372,580.354,60.626,232.137,726.389,115.66,142.37,510.262,98.5211
5.72,408.145,818.242,79.4786,427.466,580.409,60.5061,230.204,699.272,109.934,137.643,483.593,100.077
5.73,408.161,818.272,79.466,427.614,580.403,60.3831,227.778,672.824,105.245,134.225,457.766,101.671
5.74,408.29,818.286,79.3981,427.928,580.469,60.4632,224.677,647.406,101.334,131.585,432.072,103.225
5.75,408.429,818.36,79.4599,428.294,581.331,60.3124,221.08,622.651,97.7106,129.804,406.924,104.954
5.76,408.6,818.51,79.7785,428.443,581.293,60.334,217.851,598.008,95.0547,128.506,381.915,106.783
5.77,408.637,818.531,79.9113,428.531,581.256,60.2973,213.623,575.643,92.3455,127.915,357.771,108.521
5.78,408.654,818.568,79.9973,428.533,580.761,60.1065,209.861,552.845,90.028,128.06,334.334,110.524
5.79,408.698,818.559,80.0612,428.6,580.617,59.9063,206.008,530.78,87.9633,128.711,311.357,112.883
5.8,408.67,818.505,80.1135,428.625,580.303,59.6656,202.844,509.222,85.8001,129.561,289.077,115.71
5.81,408.602,818.503,80.2361,428.883,580.724,59.3244,199.342,489.467,83.7014,130.988,268.415,118.597
5.82,408.523,818.546,80.4031,429,580.828,59.2048,196.386,469.616,81.6699,132.369,248.266,121.925
5.83,408.604,818.443,80.3422,429.133,580.748,59.1142,194.168,450.328,79.5664,133.875,229.221,125.513
5.84,408.609,818.695,80.6858,429.255,580.77,58.9713,192.375,432.137,77.881,135.573,211.156,128.61
5.85,408.592,818.601,80.7364,429.42,580.861,58.8223,191.093,414.317,75.9106,137.104,193.821,131.419
5.86,408.47,818.198,80.7252,429.476,580.869,58.7185,190.491,397.527,74.5412,138.117,177.288,133.823
5.87,408.344,818.125,80.9802,429.514,580.875,58.6429,190.579,381.41,73.0428,139.356,161.929,135.484
5.88,408.249,818.099,81.1113,429.39,580.86,58.5712,190.994,366.241,71.826,139.853,147.355,136.708
5.89,408.061,817.931,81.1302,429.431,580.92,58.5064,191.92,352.219,70.2579,140.265,134.233,137.428
5.9,407.938,817.883,81.3002,429.379,580.863,58.4156,193.17,339.164,68.7212,140.538,121.613,137.346
5.91,407.809,817.914,81.6086,429.371,580.841,58.3338,194.349,326.954,66.7408,140.721,110.076,136.573
5.92,407.636,817.928,81.9173,429.376,580.856,58.2562,195.259,316.001,64.6351,140.724,99.8447,135.136
5.93,407.477,817.229,81.9481,429.395,580.868,58.1989,196.815,306.054,62.2755,140.843,90.4563,132.889
5.94,407.449,816.969,82.3476,429.433,580.924,58.0881,197.065,298.941,61.5156,141.536,82.1942,129.319
5.95,407.595,816.598,82.835,429.502,580.941,57.9812,197.36,293.165,63.0857,142.592,74.4755,123.162
5.96,407.792,816.704,83.9136,429.549,580.977,57.9174,198.187,289.065,63.99,144.122,68.4967,114.066
5.97,408.062,816.192,85.3662,429.649,580.979,57.7712,199.2,285.976,64.536,145.62,63.85,102.962
5.98,408.756,815.54,87.3129,429.879,580.964,57.6069,200.385,282.892,65.2048,147.63,59.2279,93.1723
5.99,409.543,814.744,89.7059,429.979,580.943,57.4278,203.451,279.03,65.9478,150.518,53.7573,85.6695
6,410.537,813.784,92.871,430.08,580.996,57.1663,206.978,275.059,66.2087,154.93,50.252,79.9756
6.01,411.612,811.386,96.6469,430.232,580.781,57.0133,208.894,274.341,65.7776,157.898,47.9278,76.5292
6.02,412.83,810.004,101.713,430.389,580.422,56.7913,209.527,274.701,64.9523,158.983,47.3001,75.5638
6.03,413.584,807.101,107.167,430.428,580.102,56.5004,209.513,274.84,64.7847,159.1,46.9316,74.8855
6.04,414.272,804.001,113.427,430.549,579.042,56.433,209.468,274.749,65.2315,159.445,46.2364,73.7699
6.05,414.236,800.405,120.226,430.633,577.474,56.2476,209.403,274.654,65.4898,159.62,45.6204,72.7838
6.06,413.588,795.522,127.634,431.021,576.099,55.6279,209.309,274.663,65.6602,159.832,45.0487,71.89
6.07,412.712,789.888,136.179,431.11,574.297,54.8721,209.44,274.569,65.5618,160.166,44.9213,71.2394
6.08,411.547,782.725,146.008,431.287,572.544,54.3834,209.232,274.581,65.5013,160.487,44.61,70.6827
6.09,410.541,773.754,156.944,431.337,570.735,53.8392,209.333,274.665,65.3492,161.105,44.4633,69.9316
6.1,409.771,762.903,169.444,431.696,568.167,53.4735,209.808,274.396,65.0348,161.604,44.1025,69.5982
6.11,408.718,748.99,182.771,431.918,565.491,53.0393,210.202,274.3,64.9414,161.97,43.9719,69.2714
6.12,407.533,732.742,197.29,431.945,562.001,52.8414,210.497,274.431,64.9486,162.245,43.9428,69.09
6.13,406.617,715.342,211.761,431.893,556.688,53.1729,210.696,274.634,64.6953,162.531,43.9021,68.8554
6.14,405.155,695.537,226.763,431.88,551.388,53.7545,210.944,274.331,64.7336,162.602,43.7476,68.7216
6.15,403.155,674.147,241.9,431.552,545.325,55.4534,211.033,274.257,64.7913,162.704,43.5664,68.6458
6.16,401.78,651.058,255.901,430.86,538.495,57.8782,211.051,274.261,64.7966,162.771,43.5352,68.5681
6.17,399.456,626.576,269.28,430.282,529.977,61.0476,211.084,274.268,64.8009,162.818,43.5132,68.51
6.18,396.487,601.584,282.059,430.138,520.784,64.4794,211.162,274.296,64.7889,162.827,43.5304,68.4689
6.19,394.175,575.439,293.296,430.361,509.526,68.414,211.214,274.341,64.745,162.805,43.5757,68.4378
6.2,391.455,549.754,301.111,430.691,496.487,72.4535,211.177,274.373,64.6796,162.796,43.6111,68.3971
6.21,389.253,526.992,306.95,429.801,479.582,77.0093,210.782,274.621,64.6154,162.767,43.6516,68.3503
6.22,387.877,506.816,311.71,426.917,456.828,82.4403,210.836,274.641,64.6833,162.737,43.7143,68.3123
6.23,386.549,489.091,314.869,422.93,429.409,87.1585,210.942,274.511,64.6914,162.676,43.7644,68.28
6.24,386.876,472.163,315.68,418.149,399.074,91.4788,210.706,274.724,64.5398,162.635,43.8731,68.2155
6.25,387.193,454.559,315.008,412.941,366.683,95.1831,210.771,274.507,64.639,162.643,43.9119,68.2106
6.26,387.327,435.927,312.013,407.675,333.961,98.1619,210.937,274.32,64.7442,162.587,44.0017,68.1781
6.27,387.726,416.223,307.322,402.257,300.597,100.379,210.97,274.247,64.789,162.563,44.0286,68.1619
6.28,387.19,395.351,301.286,397.776,267.283,101.289,210.988,274.222,64.8005,162.557,44.0557,68.1652
6.29,387.016,373.215,293.594,394.082,234.055,101.667,210.972,274.249,64.766,162.61,44.0538,68.145
6.3,387.477,350.454,284.477,390.69,199.714,101.896,211.309,274.36,64.6013,162.652,44.0501,68.1322
6.31,386.825,327.173,274.885,387.908,164.837,101.524,210.935,274.372,64.7968,162.664,44.1488,68.103
6.32,386.473,302.665,263.52,385.844,129.908,101.268,210.83,274.398,64.8506,162.697,44.0974,68.1174
6.33,386.069,277.824,251.856,384.684,94.4223,101.381,210.808,274.378,64.8308,162.631,44.1823,68.0704
6.34,385.113,252.628,238.206,384.283,58.7172,101.61,210.83,274.354,64.8114,162.634,44.2031,67.9972
6.35,384.243,225.7,224.279,384.672,22.8886,101.911,210.807,274.352,64.8185,162.641,44.3045,67.9407
6.36,383.109,197.382,209.713,385.622,-12.8666,101.819,210.829,274.769,65.0553,162.61,44.2633,67.8919
6.37,382.624,168.924,195.784,387.47,-48.33,101.018,210.771,274.247,64.9861,162.544,44.2563,67.806
6.38,382.368,138.776,182.542,390.12,-83.3357,100.42,210.965,274.156,64.8427,162.382,44.1431,68.0552
6.39,382.193,107.711,169.377,393.275,-118.546,100.125,211.059,274.199,64.8401,162.295,43.753,67.9685
6.4,382.665,76.2157,156.205,397.115,-153.171,100.169,211.078,274.211,64.8496,162.216,44.5212,67.9383
6.41,383.527,44.5931,143.971,401.458,-187.589,101.475,211.038,274.219,64.8121,162.278,44.6441,68.0053
6.42,385.319,12.4948,132.158,405.675,-221.559,104.055,211.04,274.225,64.7716,162.327,44.8882,67.9691
6.43,387.929,-18.5634,121.54,409.616,-254.12,108.214,211.028,274.252,64.7876,162.475,44.8902,67.7694
6.44,391.104,-49.3628,111.892,413.372,-285.043,113.207,211.012,274.255,64.7747,162.456,44.8175,67.5988
6.45,394.369,-78.6372,104.24,417.038,-313.813,119.035,210.994,274.276,64.7634,162.345,45.018,67.367
6.46,397.774,-105.836,98.1226,420.508,-340.13,125.731,210.999,274.264,64.7724,162.324,45.1365,67.3151
